"Customer_ID";"Country"
12346;"United Kingdom"
12347;"Iceland"
12348;"Finland"
12349;"Italy"
12350;"Norway"
12351;"Unspecified"
12352;"Norway"
12353;"Bahrain"
12354;"Spain"
12355;"Bahrain"
12356;"Portugal"
12357;"Switzerland"
12358;"Austria"
12359;"Cyprus"
12360;"Austria"
12361;"Belgium"
12362;"Belgium"
12363;"Unspecified"
12364;"Belgium"
12365;"Cyprus"
12366;"Cyprus"
12368;"Cyprus"
12369;"Austria"
12370;"Cyprus"
12371;"Switzerland"
12372;"Denmark"
12373;"Austria"
12374;"Austria"
12375;"Finland"
12376;"Switzerland"
12377;"Switzerland"
12378;"Switzerland"
12379;"Belgium"
12380;"Belgium"
12381;"Norway"
12382;"Netherlands"
12383;"Belgium"
12384;"Switzerland"
12385;"Belgium"
12386;"Australia"
12387;"Australia"
12388;"Australia"
12389;"Australia"
12390;"Belgium"
12391;"Cyprus"
12392;"Australia"
12393;"Australia"
12394;"Belgium"
12395;"Belgium"
12396;"RSA"
12397;"Belgium"
12398;"Switzerland"
12399;"Belgium"
12400;"Australia"
12401;"Belgium"
12402;"Belgium"
12403;"Denmark"
12404;"Finland"
12405;"Finland"
12406;"Denmark"
12407;"Belgium"
12408;"Belgium"
12409;"Switzerland"
12410;"Switzerland"
12411;"Australia"
12412;"Denmark"
12413;"France"
12414;"Austria"
12415;"Australia"
12416;"Australia"
12417;"Belgium"
12418;"Switzerland"
12419;"Spain"
12420;"Cyprus"
12421;"Spain"
12422;"Switzerland"
12423;"Belgium"
12424;"Australia"
12425;"Portugal"
12426;"Germany"
12427;"Germany"
12428;"Finland"
12429;"Denmark"
12430;"Norway"
12431;"Australia"
12432;"Norway"
12433;"Norway"
12434;"Australia"
12435;"Denmark"
12436;"Norway"
12437;"France"
12438;"Norway"
12439;"Cyprus"
12440;"Austria"
12441;"France"
12443;"Norway"
12444;"Norway"
12445;"Spain"
12446;"RSA"
12447;"Belgium"
12448;"Spain"
12449;"Belgium"
12450;"Spain"
12451;"Switzerland"
12452;"Switzerland"
12453;"Austria"
12454;"Spain"
12455;"Cyprus"
12456;"Switzerland"
12457;"Switzerland"
12458;"Switzerland"
12459;"Spain"
12460;"Belgium"
12461;"Switzerland"
12462;"Spain"
12463;"Belgium"
12464;"Belgium"
12465;"Belgium"
12466;"France"
12467;"USA"
12468;"Germany"
12469;"Thailand"
12470;"Unspecified"
12471;"Germany"
12472;"Germany"
12473;"Germany"
12474;"Germany"
12475;"Germany"
12476;"Germany"
12477;"Germany"
12479;"Germany"
12480;"Germany"
12481;"Germany"
12482;"Sweden"
12483;"Sweden"
12484;"Spain"
12485;"Sweden"
12486;"Sweden"
12487;"Sweden"
12488;"France"
12489;"France"
12490;"France"
12491;"France"
12492;"Germany"
12493;"France"
12494;"France"
12495;"Sweden"
12496;"Spain"
12497;"Germany"
12498;"Germany"
12499;"Germany"
12500;"Germany"
12501;"Germany"
12502;"Spain"
12503;"Spain"
12504;"Germany"
12505;"Italy"
12506;"France"
12507;"Spain"
12508;"France"
12509;"France"
12510;"Spain"
12511;"Greece"
12512;"Israel"
12513;"France"
12514;"Italy"
12515;"Italy"
12516;"Germany"
12517;"Germany"
12518;"Germany"
12519;"Germany"
12520;"Germany"
12521;"Germany"
12522;"Germany"
12523;"France"
12524;"Germany"
