"Age","Job","Marital","Education","Default","Mortgage","Loan","Contact","Outcome"
37,"admin.","married","basic.9y","no","yes","no","mobile","yes"
54,"housemaid","married","basic.4y","no","no","no","mobile","yes"
51,"management","married","unknown","no","no","no","mobile","yes"
27,"services","single","high.school","no","no","yes","mobile","no"
43,"blue-collar","married","basic.6y","no","no","no","landline","no"
31,"self-employed","married","university.degree","no","no","no","mobile","no"
33,"technician","single","university.degree","no","no","no","landline","yes"
28,"blue-collar","single","professional.course","no","yes","no","mobile","no"
49,"entrepreneur","married","university.degree","no","yes","no","landline","no"
48,"blue-collar","married","basic.6y","unknown","no","yes","mobile","no"
47,"self-employed","married","basic.6y","unknown","no","no","landline","yes"
24,"student","single","unknown","no","yes","no","mobile","no"
46,"admin.","divorced","university.degree","no","no","no","mobile","no"
42,"blue-collar","divorced","basic.4y","no","no","yes","landline","no"
41,"services","married","unknown","no","yes","yes","mobile","no"
27,"blue-collar","single","basic.9y","unknown","yes","no","mobile","no"
38,"blue-collar","married","basic.6y","unknown","no","yes","landline","no"
57,"retired","married","basic.4y","no","no","no","mobile","yes"
39,"services","married","high.school","unknown","no","no","landline","no"
38,"admin.","single","university.degree","no","no","no","mobile","no"
51,"admin.","married","basic.9y","unknown","yes","no","mobile","no"
38,"admin.","single","university.degree","unknown","yes","yes","landline","no"
59,"retired","married","basic.4y","no","yes","yes","mobile","no"
55,"admin.","married","professional.course","no","no","no","mobile","no"
35,"entrepreneur","single","university.degree","no","yes","no","mobile","no"
48,"blue-collar","married","basic.4y","unknown","yes","yes","mobile","no"
34,"admin.","single","professional.course","no","unknown","unknown","mobile","yes"
38,"admin.","married","basic.9y","no","no","yes","landline","no"
49,"services","married","high.school","no","yes","no","mobile","no"
29,"admin.","single","university.degree","no","yes","yes","mobile","no"
38,"unemployed","married","university.degree","unknown","unknown","unknown","mobile","yes"
33,"technician","divorced","high.school","no","no","no","landline","no"
34,"self-employed","married","basic.9y","no","yes","no","landline","no"
23,"admin.","married","high.school","no","no","no","mobile","no"
37,"admin.","married","university.degree","unknown","yes","no","landline","no"
57,"admin.","married","university.degree","no","no","no","mobile","no"
57,"admin.","married","unknown","no","yes","yes","mobile","yes"
55,"housemaid","married","professional.course","no","no","no","landline","no"
34,"unemployed","married","university.degree","unknown","yes","no","mobile","no"
